word	definition1	definition2	usage
Aarm	En iweschte Kierperdeel vum Mënsch.	E mënschlecht Glidd.	kuck, du hues en Himmelsdéierchen um Aarm sëtzen!
Äishockey	En Equippesport.	Äishockey ass en Ekippesport, dee mat jee 5 Feldspiller an engem Golkipp op engem ongeféier 60 x 30 Meter groussen Terrain aus Äis gespillt gëtt.	ech hunn nach ni Äishockey gespillt
Apel	Uebst vum Äppelbam.	Uebst mat rout oder giel oder gréng Haut a séiss bis schaarf knuspreg wäiss Fleesch.	Den Apel fält net wäit vum Bam.
Batterie	En Ensembel vun Elementer déi zesummegesat sinn.	Eng Rei vun ähnlechen Elementer.	de Kach huet eng ganz Batterie Dëppen
Béier	En alkoholescht (Gedrénks).	En allgemengen Numm fir alkoholescht Gedrénks gemaach duerch Fermentatioun vun engem Gedréite.	um Summerfest hunn ech de ganzen Dag Béier gezaapt
Bësch	Eng gréisser Usammlung vu Beem.	Eng gréisser Usammlung vu Beem mat Traisch an Ënnerholz, déi entweeder natierlech gewuess oder vum Mënsch, da meeschtens a Monokultur, ugeplanzt goufen.	de Stuerm huet an de Bëscher vill Beem ëmgeluecht
Bier	D'Friichte vum Bierebam.	 Fruucht vum Bierebam.	ech iesse gär eng Bier als Dessert
Bierg	Eng Drëttpersoun, déi sech bei enger Transaktioun eesäiteg engagéiert, fir am Fall wou den Debiteur net nokënnt mat bezuelen, dofir riichtzestoen. 	Garant bei enger finanzieller Operatioun.	ech hu mäi Papp als Bierg bei der Bank uginn
Bläi	Gëftegt Schwéiermetall.	E cheemescht Element mat der Uerdnungszuel 82 am Periodesystem vun den Elementer.	d'Element Bläi gehéiert zum Grupp vun de Metaller
Bréck	E kënschtleche Wee fir iwwer e Floss.	E Bauwierk am Héichbau, dat als Zweck huet iwwwer Hënnernesser (Waasserleef, Däll, Stroossen, Eisebunnen) ewech ze féieren.	ier déi Bréck gebaut gouf, huet ee missen e groussen Ëmwee maachen
Buerg	Eng mëttelalterlech Festung.	Eng befestegt Struktur, fir gewéinlech gebaut a bewunnt vun den Adelegen am Mëttelalter an Europa, am Mëttleren Osten an an Asien.	an der Vakanz si mir vill Buerge kucke gaangen
Buttek	E Buttek ass e Verkafsraum wou Artikelen oder Servicer ugebuede ginn.	Kommerziellt Eenzelhandelsetablissement aus engem oder méi Raim, an deem Produkter verkaaft ginn, déi op der Plaz oder auswäerts produzéiert ginn.	wa Braderie ass, si vill Leit an de Butteker
Code	Eng Kombinatioun vu Zuelen oder Zeechen, déi als Sécherheetsmoossnam genotzt gëtt.	E System benotzt fir Messagen ze vermëttelen déi Kuerzootmegkeet oder Geheimnis erfuerderen.	de Code vu menger Kreditkaart huet geännert
