lemma,code,pos,en_word,disambiguation,sentence,wn_definition,lux_definition,gloss_with_example,gloss_without_example
Akzent,AKZENT1UNI2,SUBST,stress,"emphasis, importance",am President senger Neijoerschried louch den Akzent op de positiven Aspekter vum vergaangene Joer,special emphasis attached to something,"Besonnesch ervirgehuewene Bedeitung, déi enger Saach zougeschriwwe gëtt.","Schwéierpunkt oder Haaptbetounung, déi op eppes geluecht gëtt.","Eng speziell Aussprooch oder Betounung, déi typesch fir eng Regioun oder Sprooch ass."
Anatomie,ANATOMIE1UNI2,SUBST,anatomy,bodily structure,dem Af seng Anatomie gläicht där vum Mënsch,alternative names for the body of a human being,Aner Bezeechnunge fir de Kierper vun engem Mënsch,"D'Wëssenschaft, déi sech mat der Struktur an dem Opbau vum Kierper beschäftegt.","Anatomie: D'Wëssenschaft, déi sech mat dem Opbau vum Kierper a senge verschiddenen Deeler beschäftegt."
Apostel,APOSTEL1UNI1,SUBST,Apostle,follower of Jesus Christ,an der Bibel geet rieds vun zwielef Apostelen,(New Testament) one of the original 12 disciples chosen by Christ to preach his gospel,"(Neit Testament) ee vun den ursprénglechen 12 Jünger, déi vu Christus erausgesicht goufen, fir seng Léier ze verbreeden",Een deen ausgesicht gouf fir eng reliéis Léier ze verbreeden; besonnesch ee vun den zwielef Jünger vum Jesus Christus.,"En Apostel ass ee vun den zwielef Jünger, déi vu Jesus Christus ausgewielt goufen, fir seng Léier ze verbreeden. De Begrëff gëtt och benotzt fir eng Persoun, déi eng Iddi oder Léier iwwerzeegend vertrëtt an verbreedt."
apostoulesch,APOSTOULESCH1UNI1,ADJ,apostolic,relating to the Apostles,"mir goufe geléiert, un déi eng, helleg, kathoulesch an apostoulesch Kierch ze gleewen",of or relating to or deriving from the Apostles or their teachings,bezitt sech op oder kënnt vun den zwielef Jünger vu Jesus oder vun hire Léieren,am Bezuch op d'Apostelen; vun den Apostelen hierkommend oder op si zeréckgoend,"Apostoulesch bedeit ""wat sech op d'Apostelen bezitt oder vun hinnen hierkënnt""."
Aquarell,AQUARELL1UNI1,SUBST,watercolour,painting,mir waren eng Ausstellung mat Aquarelle vu bekannten englesche Moler kucken,a painting produced with watercolors,"e Bild, dat mat Waasserfaarwe gemoolt gëtt","e Bild, dat mat Waasserfaarwe gemoolt gouf","En Aquarell ass e Bild, dat mat Waasserfaarwe gemoolt gëtt."
arëtzen,ARETZEN1UNI1,VRB,to carve,to engrave,déi jonk Koppel huet en Häerz mat hiren Initialen an e Bam agerëtzt,engrave or cut by chipping away at a surface,An eng Uewerfläch duerch erausschloe vu klenge Stécker markéieren oder aschneiden.,mat engem spatzen oder schaarfe Géigestand eppes an eng Uewerfläch aschneiden oder arazen,Agressiv provozéieren oder bewosst erausfuerderen.
ausriichten,AUSRIICHTEN1UNI3,VRB,to align,to arrange in line,de Bauer huet d'Péil vun der Perch ausgeriicht,place in a line or arrange so as to be parallel or straight,"An enger Linn opstellen oder esou arrangéieren, datt et parallel oder riicht ass.",eppes an eng bestëmmten oder richteg Positioun bréngen oder ajustéieren,Informatiounen oder Noriichten un eng aner Persoun weiderginn; engem eppes matdeelen.
bannenan,BANNENAN1UNI1,ADV,inside,indoors,elo huet dee Klautjen d'Dier zougezunn an de Schlëssel bannena leie gelooss!,within a building,an engem Gebai dran,op der banneschter Säit; dobannen; bannendran,"Bannenan bedeit bannen oder op der banneschter Säit, am banneschten Deel vun eppes."
Bar,BAR2UNI1,SUBST,bar,unit of pressure,am Tank ass en Drock vun dräi Bar,(meteorology) a unit of pressure equal to a million dynes per square centimeter,"(meteorologesch) Eng Eenheet fir Loftdrock, déi enger Millioun Dyn pro Quadratzentimeter entsprécht.",Eng Eenheet fir den Drock ze moossen.,"Eng Plaz oder Lokal, wou een alkoholescht Gedrénks servéiert kritt an zesumme kënnt fir eppes ze drénken an ze schwätzen."
bestueden,BESTUEDEN1UNI1,VRB,to marry,to join in marriage,de Buergermeeschter huet déi jonk Koppel bestuet,take in marriage,als Mann a Fra zesummekommen,bestueden: zwou Persoune duerch eng offiziell Zeremonie an den Bestietnesbond bréngen.,Bestueden: Eng offiziell Verbindung tëscht zwou Persounen duerch eng Hochzäit agoen.
