lemma,code,pos,en_word,disambiguation,sentence,wn_definition,lux_definition,necessary_edits,annotator
Akzent,AKZENT1UNI2,SUBST,stress,"emphasis, importance",am President senger Neijoerschried louch den Akzent op de positiven Aspekter vum vergaangene Joer,special emphasis attached to something,"Besonnesch ervirgehuewene Bedeitung, déi enger Saach zougeschriwwe gëtt.","Besonnesch ervirgehuewene Bedeitung, déi enger Saach zougeschriwwe gëtt.",Ben
Anatomie,ANATOMIE1UNI2,SUBST,anatomy,bodily structure,dem Af seng Anatomie gläicht där vum Mënsch,alternative names for the body of a human being,Aner Bezeechnunge fir de Kierper vun engem Mënsch,Aner Bezeechnunge fir de Kierper vun engem Mënsch,Ben
Apostel,APOSTEL1UNI1,SUBST,Apostle,follower of Jesus Christ,an der Bibel geet rieds vun zwielef Apostelen,(New Testament) one of the original 12 disciples chosen by Christ to preach his gospel,"(Neit Testament) ee vun den ursprénglechen 12 Jünger, déi vu Christus erausgesicht goufen, fir seng Léier ze verbreeden","(Neit Testament) ee vun den ursprénglechen 12 Jünger, déi vu Christus erausgesicht goufen, fir seng Léier ze verbreeden",Ben
apostoulesch,APOSTOULESCH1UNI1,ADJ,apostolic,relating to the Apostles,"mir goufe geléiert, un déi eng, helleg, kathoulesch an apostoulesch Kierch ze gleewen",of or relating to or deriving from the Apostles or their teachings,bezitt sech op oder kënnt vun den zwielef Jünger vu Jesus oder vun hire Léieren,bezitt sech op oder kënnt vun den zwielef Jünger vu Jesus oder vun hire Léieren,Ben
Aquarell,AQUARELL1UNI1,SUBST,watercolour,painting,mir waren eng Ausstellung mat Aquarelle vu bekannten englesche Moler kucken,a painting produced with watercolors,"e Bild, dat mat Waasserfaarwe gemoolt gëtt","e Bild, dat mat Waasserfaarwe gemoolt gëtt",Ben
arëtzen,ARETZEN1UNI1,VRB,to carve,to engrave,déi jonk Koppel huet en Häerz mat hiren Initialen an e Bam agerëtzt,engrave or cut by chipping away at a surface,An eng Uewerfläch duerch erausschloe vu klenge Stécker markéieren oder aschneiden.,An eng Uewerfläch duerch erausschloe vu klenge Stécker markéieren oder aschneiden.,Ben
ausriichten,AUSRIICHTEN1UNI3,VRB,to align,to arrange in line,de Bauer huet d'Péil vun der Perch ausgeriicht,place in a line or arrange so as to be parallel or straight,"An enger Linn opstellen oder esou arrangéieren, datt et parallel oder riicht ass.","An enger Linn opstellen oder esou arrangéieren, datt et parallel oder riicht ass.",Ben
bannenan,BANNENAN1UNI1,ADV,inside,indoors,elo huet dee Klautjen d'Dier zougezunn an de Schlëssel bannena leie gelooss!,within a building,an engem Gebai dran,an engem Gebai dran,Ben
Bar,BAR2UNI1,SUBST,bar,unit of pressure,am Tank ass en Drock vun dräi Bar,(meteorology) a unit of pressure equal to a million dynes per square centimeter,"(meteorologesch) Eng Eenheet fir Loftdrock, déi enger Millioun Dyn pro Quadratzentimeter entsprécht.","(meteorologesch) Eng Eenheet fir Loftdrock, déi enger Millioun Dyn pro Quadratzentimeter entsprécht.",Ben
bestueden,BESTUEDEN1UNI1,VRB,to marry,to join in marriage,de Buergermeeschter huet déi jonk Koppel bestuet,take in marriage,als Mann a Fra zesummekommen,als Mann a Fra zesummekommen,Ben
Betounung,BETOUNUNG1UNI2,SUBST,stress,"emphasis, importance",am President senger Neijoerschried louch d'Betounung op de positiven Aspekter vum vergaangene Joer,special emphasis attached to something,"Besonnesch ervirgehuewene Wäertung, déi enger Saach zougeschriwwe gëtt",Besonnesch Ervirhiewung vun eppes,Fred
